Sector,Project,Operation,Chinese Company,Year,US$ M
Transmissão,AQUISIÇÃO DA CEEE-T,CEEET,State Grid,2021,"524,00"
Automobilístico,Fábrica da Great Wall Motors,GWM Brasil,Great Wall Motors,2021,"120,00"
Petróleo,Aquisição de mais 5% da participação do campo de Buzios.,CNODC Brasil Petróleo e Gás,China Southern Petroleum Exploration and Development Corporation (CNODC),2021,"2.008,00"
Tecnologia,Fábrica de baterias de Lítio,BYD Brasil,BYD,2020,"2,70"
Gás Natural,"Gás Natural Açu (GNA), consiste na compra de 33% da participação nos projetos de duas usinas termoelétricas (GNA I e II) a gás natural em construção no Porto de Açu.",SPIC BRASIL,State Power Investment Company (SPIC),2020,"1.650,00"
Finanças,Construção e abertura do banco XCMG no Brasil,Banco XCMG Brasil,Xuzhou Construction Machinery Group,2020,"100,00"
Eólica,"Instalação das usinas Aura Caetité 1, 2, 3, 4",CGN Brasil Energy,CGN Energy,2020,"180,00"
Finanças,Abertura do banco chinês XCMG em São Paulo,Banco XCMG Brasil,Xuzhou Construction Machinery Group,2020,"100,00"
Solar,Usina Solar Nova Olinda,CGN Brasil Energy,CGN Energy,2019,"735,09"
Solar,Usina Solar Lapa,CGN Brasil Energy,CGN Energy,2019,"735,09"
Eólica,Parque Eólico Cristalândia,CGN Brasil Energy,CGN Energy,2019,"735,09"
Infraestrutura,Participação no consórcio de Construção do VLT do Subúrbio Ferroviário,Skyrail Concessionária da Bahia S.A. (Skyrail Bahia),BYD,2019,"372,00"
Eólica,Aquisição do Complexo Eólico Santa Vitória do Palmar da Actis,Atlantic Energias Renováveis,CGN Energy,2019,"1.000,00"
Eólica,Aquisição do Complexo Eólico Lagoa do Barro da Actis,Atlantic Energias Renováveis,CGN Energy,2019,"1.000,00"
Eólica,Aquisição do Complexo Eólico Morrinhos da Actis,Atlantic Energias Renováveis,CGN Energy,2019,"1.000,00"
Eólica,Aquisição do Parque Eólico Eurus II da Actis,Atlantic Energias Renováveis,CGN Energy,2019,"1.000,00"
Eólica,Aquisição do Complexo Renascença V da Actis,Atlantic Energias Renováveis,CGN Energy,2019,"1.000,00"
Automobilístico,Instalação de indústria da YAPP Brazil,YAPP Brazil,Yapp Automotive Systems,2019,"24,14"
Petróleo,Arrematação de 10% do campo de Búzios em Leilão dos Volumes Excedentes da Cessão Onerosa do Pré-Sal (5% cada).,CNODC Brasil Petróleo e Gás e CNOOC Petroleum Brasil,CNODC + CNOOC,2019,"1.484,00"
Petróleo,Arrematação de 20% no campo do Aram,CNODC Brasil Petróleo e Gás,China Southern Petroleum Exploration and Development Corporation (CNODC),2019,"247,00"
Infraestrutura,Ponte entre Salvador e Itaparica,Concremat,CCCC e China Railway 20,2019,"1.318,00"
Tecnologia,Construção de uma fábrica de ar condicionados na Zona Franca de Manaus,GREE Brasil,GREE Electric Appliances,2018,"20,70"
Serviços,Compra da 99 Taxis pela DiDi Changing,99Taxis,Didi Chuxing Technology,2018,"297,00"
Serviços,Aquisição de participações na Stone,StoneCo Ltd.,"Ant Small e Micro Financial Services Group Co., Ltd.",2018,"100,00"
Serviços,Compra de participação minoritária da Nubank pela Tencent Holdings Limited,Nu Pagamentos S.A.,Tencent Holdings Limited,2018,"180,00"
Infraestrutura,Compra do Sistema Produtos São Lourenço pela CGGC (China Gezhouba),Sistema Produtor São Lourenço (Andrade Gutierrez e Camargo Corrêa),China Gezhouba Group Company (CGGC),2018,"200,00"
Petróleo,30% Bloco de Pau-Brasil,China National Offshore Oil Corporation (CNOOC),China National Offshore Oil Corporation (CNOOC),2018,"38,00"
Petróleo,"Aquisição de 30% de empresa que atua na distribuição de combustíveis, como gasolina no Nordeste.",TT WORK,China National Petroleum Company (CNPC),2018,"993,00"
Infraestrutura,Terminal Portuário São Luís,"Concremat (controlada pela CCCC), Construtora WPR (24%) e Lyon Capital (20%)",China Communications Construction Company (CCCC),2017,"357,00"
Automobilístico,Fábrica JAC Motors,JAC Motors Brasil,Anhui Jianghuai Automobile Co (JAC Motors),2017,"62,66"
Agricultura,Negócios de sementes de milho da Dow AgroSciences Sementes no Brasil,LP Sementes,CITIC Agri Fund,2017,"1.100,00"
Hidrelétrica,UHE São Simão,SPIC Brasil e outros,State Power Investment Company (SPIC),2017,"2.250,00"
Infraestrutura,Compra do Terminal de Contêineres de Paranaguá (TCP),Terminal de Contêineres de Paranaguá (TCP),China Merchants Port Holding (CMPorts),2017,"925,00"
Petróleo,Arremate de blocos na Bacia do Recôncavo em joint venture da HL Petroleum Equipment e Tek Óleo & Gás,Tek Óleo E Gás Ltda,"HL Petroleum Equipment Co., Ltd",2017,"1,50"
Tecnologia,Investimento da Huawei na Inatel para Centro de Desenvolvimento para operadoras,Instituto Nacional de Telecomunicações - Inatel,Huawei Technologies Co. Ltd.,2017,"1,40"
Automobilístico,Instalação de fábrica da Ningbo Toupu Group,Toupu do Brasil Auto Peças LTDA.,Ningbo Toupu Group,2017,"9,10"
Tecnologia,Instalação de Fábrica da Johnson Electric,Johnson Electric Brazil,Johnson Electric,2017,"13,00"
Tecnologia,Instalação de fábrica da BYD,BYD Brasil,BYD,2017,"13,90"
Agricultura,Compra da Belagrícola pela Hunan Dakang International Food Agriculture,Belagrícola,Hunan Dakang International Food Agriculture,2017,"253,00"
Energia,"Aquisição da CPFL Energia (83,7% do capital social do grupo))",CPFL Geração de Energia S.A.,State Grid,2017,"12.500,00"
